,Unnamed: 0,Unnamed: 0.1,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western,FILM_CPI,BWAY_CPI,FILM_budget_adj,FILM_domestic_gross_adj,FILM_worldwide_gross_adj,BWAY_total_weekly_gross_adj,BWAY_average_weekly_gross_adj
89,107,25489,Bullets Over Broadway,98.0,"['John Cusack', 'Dianne Wiest', 'Jennifer Tilly']",['Woody Allen'],Bullets Over Broadway,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm1184326/', 'name: Babu Antony', '}', '{', '@type: Person', 'url: /name/nm1668938/', 'name: Arun', '}', '{', '@type: Person', 'url: /name/nm2778406/', 'name: Bhama', '}', '{', '@type: Person', 'url: /name/nm0154653/', 'name: Bhoomika Chawla', '}']",20000000.0,13383747.0,13383747.0,4,1995-02-24,tt0109348,Bullets Over Broadway,98,"Comedy,Crime",18176367.0,35585580.0,156,33,2014-03-16,757348.625,80.34291666666667,0.7381624999999999,252.0,1630.0,1995-01-01,4.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.4,237.072,132100.39630118888,88399.9141347424,88399.9141347424,76670.23942093541,3194.593309205642
90,108,27007,Buried Child,110.0,"['Taissa Farmiga', 'Ed Harris', 'Amy Madigan']",['David Horn'],Not found,0.0,"['Comedy', 'Crime']",15394980.435087722,30395594.992374666,56055639.77369876,0,2016-03-30,tt6490532,Buried Child,110,Drama,1361820.0,0.0,72,14,1996-04-21,123801.81818181818,23.12545454545455,0.6748181818181819,45.0,1021.0,2016-01-01,0.0,Comedy,Crime,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246.467,156.6,62462.643822855476,123325.2118635544,227436.6944609167,8696.16858237548,790.5607802159526
91,109,8556,Bus Stop,125.0,"['Siddharth Chandekar', 'Madhura Deshpande', 'Hemant Dhome']",['Sameer Joshi'],Not found,0.0,"['contentRating: Not Rated', 'actor:', '{', '@type: Person', 'url: /name/nm3920288/', 'name: Taissa Farmiga', '}', '{', '@type: Person', 'url: /name/nm0000438/', 'name: Ed Harris', '}', '{', '@type: Person', 'url: /name/nm0001496/', 'name: Amy Madigan', '}', '{', '@type: Person', 'url: /name/nm0683978/', 'name: Larry Pine', '}']",15320139.194947515,30761188.39689234,56070646.3934973,0,2017-07-21,tt0049038,Bus Stop,96,"Comedy,Drama,Romance",589888.0,862800.0,29,21,1996-02-04,84269.71428571429,20.994285714285713,0.7718142857142858,50.0,721.0,2017-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.562,155.7,60658.924125353435,121796.58221305002,222007.45319366056,3788.619139370585,541.2313056243693
92,110,23809,Butley,129.0,"['Alan Bates', 'Jessica Tandy', ""Richard O'Callaghan""]",['Harold Pinter'],Simon Gray's Butley,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm4852914/', 'name: Siddharth Chandekar', '}', '{', '@type: Person', 'url: /name/nm5516500/', 'name: Madhura Deshpande', '}', '{', '@type: Person', 'url: /name/nm4852977/', 'name: Hemant Dhome', '}', '{', '@type: Person', 'url: /name/nm9113372/', 'name: Suyog Gorhe', '}']",15353967.033897633,32088349.89152975,58428998.95893378,4,1976-04-01,tt0071260,Butley,129,"Drama,Romance",5424237.0,7574949.0,94,21,2006-10-08,361615.8,73.1233333333333,0.8322599999999999,251.25,780.0,1976-01-01,4.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,201.5,273689.2519411343,571984.8465513324,1041515.1329578214,26919.290322580644,1794.6193548387096
93,111,26560,By Jeeves,120.0,"['Martin Jarvis', 'John Scherer', 'Donna Lynne Champlin']","['Alan Ayckbourn', 'Nick Morris']",Jeeves,0.0,"['Drama', 'Romance']",15290615.191103822,31506169.587509714,57028635.9295973,0,2001-10-20,tt0289673,By Jeeves,120,"Comedy,Musical",2090954.0,4062080.0,73,15,2001-10-21,190086.72727272726,58.67090909090909,0.7070636363636363,86.25,577.0,2001-01-01,0.0,Drama,Romance,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,177.4,177.4,86192.8702993451,177599.6030863005,321469.1991521832,11786.662908680946,1071.514809880086
94,112,5051,Cabaret,106.0,"['Jane Horrocks', 'Alan Cumming', 'Sara Kestelman']",['Sam Mendes'],Not found,0.0,"['Comedy', 'Musical']",17407153.906538073,70023622.14715984,134031081.46774282,0,1993-01-01,tt0017724,Cabaret,70,"Crime,Drama",170760188.0,212162390.0,3026,90,1987-10-11,434504.2951653944,67.2328498727736,0.893687277353689,137.00879765395894,933.1475826972012,1993-01-01,0.0,Comedy,Musical,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,142.6,115.4,122069.80299115059,491049.2436687226,939909.4072071727,1479724.3327556325,3765.201864518149
95,113,5169,Camelot,179.0,"['Richard Harris', 'Vanessa Redgrave', 'Franco Nero']",['Joshua Logan'],Camelot,0.0,"['Musical', 'Drama']",13000000.0,27544415.94481585,48962642.1440122,1,1967-10-25,tt0061439,Camelot,179,"Adventure,Fantasy,Musical",3714457.0,0.0,56,4,1993-06-20,464307.125,49.28,0.660525,,1933.0,1967-01-01,1.0,Musical,Drama,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,33.8,144.4,384615.3846153846,814923.5486631909,1448598.880000361,25723.386426592795,3215.4233033240994
96,115,23713,Candide,148.0,"['Leonard Bernstein', 'Jerry Hadley', 'June Anderson']",['Humphrey Burton'],Bernstein: Candide,0.0,"['Comedy', 'Drama']",15376562.261970988,31781210.576593906,58112641.81532952,0,1991-10-15,tt0180509,Candide,148,"Music,Musical",5065916.0,6378096.0,104,10,1997-04-20,337727.7333333333,34.498000000000005,0.6785266666666668,65.0,1922.2666666666669,1991-01-01,0.0,Comedy,Drama,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137.8,160.1,111586.08317830904,230632.8779143244,421717.28458149143,31642.19862585884,2109.479908390589
97,116,5282,Carousel,128.0,"['Gordon MacRae', 'Shirley Jones', 'Cameron Mitchell']",['Henry King'],Rodgers and Hammerstein's Carousel,0.0,"['Music', 'Musical']",16322887.15236061,37832306.77850728,74838525.0178528,0,1956-02-16,tt0049055,Carousel,128,"Drama,Fantasy,Musical",46906771.57999999,46263468.0,518,85,1994-02-20,609178.8516883116,69.89753246753246,0.9009454545454544,323.0,1204.8311688311687,1956-01-01,0.0,Music,Musical,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26.8,147.2,609062.9534462914,1411653.238004003,2792482.276785552,318660.1330163043,4138.44328592603
98,117,20648,Carrie,100.0,"['Chloë Grace Moretz', 'Julianne Moore', 'Gabriella Wilde']",['Kimberly Peirce'],Carrie,0.0,"['Drama', 'Fantasy', 'Musical']",30000000.0,35266619.0,84790678.0,4,2013-10-18,tt0044486,Carrie,118,"Drama,Romance",341396.0,0.0,5,16,1988-05-01,113798.66666666669,19.243333333333336,0.7132666666666667,,1202.0,2013-01-01,4.0,Drama,Fantasy,Musical,,,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,233.06900000000002,117.5,128717.24682390192,151314.0700822503,363800.7542830664,2905.4978723404256,968.499290780142
