,title,total_weekly_gross,total_potential_gross,total_performances,total_previews,last_performance,avg_ticket_price,avg_capacity,avg_top_ticket_price,avg_seats_in_theatre
19,Dear Evan Hansen,240102484.9400001,222556476.0,1352,21,2016-11-20,175.59505813953484,1.0107901162790698,389.70348837209303,983.9941860465116
20,Spider-Man Turn Off the Dark,212406040.0,287892017.0,1066,182,2010-11-28,101.59700000000001,0.875685625,257.15,1895.3
21,Matilda The Musical,196993189.39000002,252292092.0,1547,37,2013-03-10,93.70849246231158,0.9157929648241211,250.0,1431.8492462311558
22,Billy Elliot: The Musical,183514378.0,218727543.0,1312,40,2008-10-05,101.88052631578951,0.9296824561403515,268.4561403508772,1420.9941520467837
23,42nd Street,178252977.0,204319435.0,3028,31,1985-06-09,45.022109375000035,0.7031236979166672,99.01658163265341,1720.96875
24,Come From Away,174137624.79000005,188382770.0,1240,25,2017-02-19,129.19176100628928,1.0166710691823906,316.0691823899371,1046.0
25,"Harry Potter and the Cursed Child, Parts One and Two",173061877.5,167798768.60999998,775,34,2018-03-25,132.02784313725496,0.9998735294117647,296.0098039215686,1622.0
26,Cabaret,170760188.0,212162390.0,3026,90,1987-10-11,67.2328498727736,0.893687277353689,137.00879765395894,933.1475826972011
27,Waitress,168426420.25999987,202146361.0,1544,33,2016-03-27,113.02984848484854,0.8943646464646468,275.95454545454544,1045.0
28,Spamalot,168067350.0,197496726.0,1575,34,2005-02-20,79.23607843137259,0.8856656862745104,259.15441176470586,1426.9411764705883
29,Aida,165928398.0,212615075.0,1852,30,2000-02-27,60.8007594936709,0.8492194092827003,111.39240506329114,1695.7679324894514
30,School of Rock - The Musical,158638864.62999997,243578890.0,1301,31,2015-11-15,94.49686746987953,0.8240108433734943,244.3855421686747,1508.4156626506024
31,Frozen,156646993.79999998,175444963.70000002,942,32,2004-05-02,103.86260162601624,0.9088284552845529,250.4227642276423,1540.60162601626
32,The Color Purple,147709700.89999998,200764487.0,1352,63,2005-11-06,82.04718232044199,0.8501044198895037,218.16298342541435,1478.0552486187846
33,"Hello, Dolly!",134658554.52,122840960.0,666,45,1995-10-15,136.8510869565217,0.9349076086956521,510.6630434782609,1441.391304347826
34,Rock of Ages,128993202.0,189018483.0,2328,22,2009-03-22,88.7947796610169,0.8853155932203385,223.19387755102042,715.7728813559322
35,Mean Girls,123424401.06999995,133255536.0,793,29,2018-03-18,126.16203883495146,0.9652970873786408,298.30582524271847,1225.0
36,Avenue Q,121918918.0,163415108.0,2534,22,2003-07-13,69.26123839009286,0.8441786377708976,183.13467492260062,791.0712074303406
37,Grease,119817954.0,75236934.0,2059,51,1994-04-24,59.15842696629219,0.8633820224719105,138.58612440191388,1082.4044943820224
38,Fiddler on the Roof,119650286.21999998,197560219.0,1446,88,1990-11-04,64.31793814432986,0.6982298969072162,147.2049689440994,1733.2835051546392
39,To Kill A Mockingbird,118973946.19,104673247.0,506,45,2018-11-04,148.35714285714286,1.0108557142857142,487.3142857142857,1435.142857142857
