,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
49,Cinderella,120,"['Anna Tysgankova', 'Matthew Golding']",['Jeff Tudor'],"Amsterdam, Netherlands",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm3669708/', 'name: Anna Tysgankova', '}', '{', '@type: Person', 'url: /name/nm4247416/', 'name: Matthew Golding', '}']",Not found,Not found,Not found,,2 May 2013 (UK)
50,Cinderella,Not found,"['John Gatrell', 'Margaret Carter', 'W.S. Percy']",Not found,Not found,Not found,0,"['Drama', 'Family']",Not found,Not found,Not found,,19 January 1937 (UK)
51,Cinderella,87,Not found,['Riccardo Corradi'],Not found,Not found,0,"['director: {', '@type: Person', 'url: /name/nm1388924/', 'name: Riccardo Corradi', '}', 'creator: [', '{', '@type: Person', 'url: /name/nm0180664/', 'name: Orlando Corradi', '}', '{', '@type: Organization', 'url: /company/co0084109/', '}', '{', '@type: Organization', 'url: /company/co0048904/', '}']",Not found,Not found,Not found,,1995 (Italy)
52,Cinderella,113,"['Mangesh Desai', 'Vinit Bonde', 'Janardhan Parab']",['Kiran Nakti'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm4369895/', 'name: Mangesh Desai', '}', '{', '@type: Person', 'url: /name/nm8063245/', 'name: Vinit Bonde', '}', '{', '@type: Person', 'url: /name/nm2001246/', 'name: Janardhan Parab', '}', '{', '@type: Person', 'url: /name/nm2509394/', 'name: Ganesh Mayekar', '}']",Not found,Not found,Not found,,Not found
53,Cinderella,130,"['Charlie Barnick', 'Melvin LaThomas Brimm', 'Darrio Donner']","['Rennie Cowan', 'Chance Taylor']","Los Angeles, California, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm7547729/', 'name: Charlie Barnick', '}', '{', '@type: Person', 'url: /name/nm6432126/', 'name: Melvin LaThomas Brimm', '}', '{', '@type: Person', 'url: /name/nm8122650/', 'name: Darrio Donner', '}', '{', '@type: Person', 'url: /name/nm7375365/', 'name: Ebony Lanet', '}']","$25,000
            ",Not found,Not found,,18 April 2016 (USA)
54,Cinderella,90,"['Jimmy Jewel', 'Ben Warriss', 'Dickie Valentine']",Not found,"Wimbledon Theatre, London, England, UK",Not found,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,,26 December 1961 (UK)
55,Cinderella,Not found,"['Nazeni Hovhannisyan', 'Armen Markaryan', 'Davit Tadevosyan']",['Hrach Keshishyan'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm4171935/', 'name: Nazeni Hovhannisyan', '}', '{', '@type: Person', 'url: /name/nm7816882/', 'name: Armen Markaryan', '}', '{', '@type: Person', 'url: /name/nm5417733/', 'name: Davit Tadevosyan', '}']",Not found,Not found,Not found,,1 January 2009 (Armenia)
56,Cinderella,90,"['Jimmy Tarbuck', 'Beryl Reid', 'Anita Harris']",['Peter Whitmore'],Not found,Not found,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,25 December 1969 (UK)
57,Cinderella,Not found,['Raai Laxmi'],['Vinod Venkatesh'],Not found,Not found,0,"['actor: {', '@type: Person', 'url: /name/nm2843559/', 'name: Raai Laxmi', '}', 'director: {', '@type: Person', 'url: /name/nm10079112/', 'name: Vinod Venkatesh', '}']",Not found,Not found,Not found,,2018 (India)
58,Cinderella - IMDb</title>,Not found,"['Raai Laxmi', 'Sakshi Agarwal']",['Vinoo Venketesh'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm2843559/', 'name: Raai Laxmi', '}', '{', '@type: Person', 'url: /name/nm6574241/', 'name: Sakshi Agarwal', '}']","INR30,000,000
            ",Not found,Not found,,Not found
