,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
172,26610,Elf,97.0,"['Will Ferrell', 'James Caan', 'Bob Newhart']",['Jon Favreau'],Elf,0.0,"['actor:', '{', '@type: Person', 'url: /name/nm0215268/', 'name: Fiet Dekker', '}', '{', '@type: Person', 'url: /name/nm0282347/', 'name: Coen Flink', '}', '{', '@type: Person', 'url: /name/nm0378056/', 'name: Lo van Hensbergen', '}', '{', '@type: Person', 'url: /name/nm0378106/', 'name: Lous Hensen', '}']",33000000.0,174626840.0,221671773.0,2,7 November 2003,tt0319343,Elf,97,"Comedy,Family,Fantasy",18492763.0,26630370.0,131,15,2010-11-07,1027375.7222222221,102.22388888888891,0.8560166666666666,312.70588235294116,1424.0,2003-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,26540,Elling,89.0,"['Per Christian Ellefsen', 'Sven Nordin', 'Marit Pia Jacobsen']",['Petter Næss'],Brødre i blodet,1.0,"['Comedy', 'Family', 'Fantasy', 'Romance']",5729431.090487439,314729.0,2042190.0,4,16 March 2001,tt0279064,Elling,89,"Comedy,Drama",686837.0,3422620.0,9,22,2010-11-07,171709.25,34.875,0.63095,225.0,1056.0,2001-01-01,4.0,Comedy,Family,Fantasy,Romance,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
174,19923,Enchanted April,66.0,"['Ann Harding', 'Frank Morgan', 'Katharine Alexander']",['Harry Beaumont'],Enchanted April,0.0,"['Comedy', 'Drama']",15115025.820941424,33432690.647671208,58757625.320841745,0,1 February 1935,tt0026313,Enchanted April,66,"Comedy,Drama,Romance",3492109.0,11172505.0,143,24,2003-04-13,166290.90476190473,41.12047619047618,0.4904571428571429,81.25,1037.0,1935-01-01,0.0,Comedy,Drama,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,26677,End of the Rainbow,83.0,Not found,['Robert Nugent'],A szivárvány végén,0.0,"['Comedy', 'Drama', 'Romance']",15066487.386826217,34955636.190380424,60805128.037920564,2,2007,tt1280657,End of the Rainbow,83,Documentary,6856068.0,17851179.0,160,16,2012-03-25,311639.4545454545,69.36636363636366,0.5686136363636364,198.0,989.8181818181821,2007-01-01,2.0,Comedy,Drama,Romance,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
176,27070,Enron,104.83845637686065,,,,0.059220575868458414,"['contentRating: PG', 'director: {', '@type: Person', 'url: /name/nm3109491/', 'name: Robert Nugent', '}', 'creator:', '{', '@type: Person', 'url: /name/nm3109491/', 'name: Robert Nugent', '}', '{', '@type: Person', 'url: /name/nm2753433/', 'name: Rachel Sanderson', '}', '{', '@type: Organization', 'url: /company/co0014456/', '}', '{', '@type: Organization', 'url: /company/co0245628/', '}', '{', '@type: Organization', 'url: /company/co0088173/', '}']",15217775.963234058,31911692.847225856,57122019.76223461,0,,tt1515198,Enron,\N,Drama,1489074.0,5138360.0,16,22,2010-04-11,297814.8,55.35799999999999,0.61326,250.0,1178.0,1984-01-01,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,24312,Equus,137.0,"['Richard Burton', 'Peter Firth', 'Colin Blakely']",['Sidney Lumet'],Equus,3.0,['nan'],15244176.61510797,35176795.658486456,62495571.29264298,4,20 October 1977,tt0075995,Equus,137,"Drama,Mystery",11962267.0,20985829.0,156,21,2008-09-07,520098.56521739135,85.92652173913041,0.6677956521739131,300.0,1206.695652173913,1977-01-01,4.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,26967,Eugene Onegin,155.0,Not found,Not found,Not found,0.0,"['Drama', 'Mystery']",15308769.109984044,30691935.520352867,55875154.04659131,0,2011,tt0939609,Eugene Onegin,117,Music,97542.0,400000.0,7,0,1997-11-23,97542.0,24.1,0.4447,,1300.0,2011-01-01,0.0,Drama,Mystery,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
179,5160,Evita,135.0,"['Madonna', 'Jonathan Pryce', 'Antonio Banderas']",['Alan Parker'],Evita,0.0,"['creator:', '{', '@type: Organization', 'url: /company/co0086400/', '}', '{', '@type: Organization', 'url: /company/co0253827/', '}', '{', '@type: Organization', 'url: /company/co0147823/', '}']",55000000.0,50047179.0,141047179.0,2,10 January 1997,tt0116250,Evita,135,"Biography,Drama,History",52678175.0,75205550.0,337,26,2012-03-18,1145177.7173913044,110.04434782608688,0.814771739130435,275.0,1607.8260869565215,1997-01-01,2.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,26175,Execution of Justice,98.0,"['Tim Daly', 'Peter Coyote', 'Khalil Kain']",['Leon Ichaso'],Ejecución de la justicia,0.0,"['Biography', 'Drama', 'History', 'Musical']",15322882.619396709,30573128.263024937,55793300.9891748,4,28 November 1999,tt0176705,Execution of Justice,98,"Crime,Drama",93247.0,0.0,12,8,1986-03-09,31082.33333333333,13.153333333333334,0.3164666666666667,,1149.0,1999-01-01,4.0,Biography,Drama,History,Musical,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
181,17639,Face Value,120.0,Not found,['Johan van der Keuken'],Kasvokuvia Euroopasta,0.0,"['Crime', 'Drama']",15320431.218557317,30579164.630088754,55784381.22914091,0,27 September 1991,tt0007924,Face Value,50,Drama,50114.0,0.0,0,8,1993-03-14,50114.0,17.8,0.3247,,1084.0,1991-01-01,0.0,Crime,Drama,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
