,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_stars1,FILM_stars2,FILM_stars3,FILM_directors1,FILM_directors2,FILM_directors3
2374,11247,Blood Brothers,,,,,,,,,,,,,tt6794830,Blood Brothers,\N,Drama,20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2375,11251,Blood Brothers,,,,,,,,,,,,,tt7533198,Blood Brothers,\N,"Action,Drama,Fantasy",20752831.0,0.0,840,13,1993-04-18,37.129345794392535,0.6565299065420561,,992.0,,,,,,,
2376,11261,A Bronx Tale,,,,,,,,,,,,,tt0106489,A Bronx Tale,121,"Crime,Drama,Romance",68722968.43999995,84757024.0,700,28,2016-11-06,100.18391304347828,0.8986597826086953,246.2391304347826,1044.0,,,,,,,
2377,11262,A Bronx Tale,,,,,,,,,,,,,tt0106489,A Bronx Tale,121,"Crime,Drama,Romance",4888172.0,9737388.0,111,18,2007-10-07,59.35047619047618,0.5517666666666665,251.5,858.047619047619,,,,,,,
2378,11273,The Cemetery Club,,,,,,,,,,,,,tt0106536,The Cemetery Club,107,Comedy,363036.0,0.0,56,10,1990-05-06,10.232222222222225,0.5159333333333334,,1090.0,,,,,,,
2379,11279,Chess,,,,,,,,,,,,,tt0842001,Chess,\N,"Action,Comedy,Crime",3806343.0,0.0,68,17,1988-04-17,37.85818181818182,0.8423363636363635,,1406.0,,,,,,,
2380,11291,Chess,,,,,,,,,,,,,tt3589654,Chess,74,"Comedy,Drama",3806343.0,0.0,68,17,1988-04-17,37.85818181818182,0.8423363636363635,,1406.0,,,,,,,
2381,11293,Chess,,,,,,,,,,,,,tt8571542,Chess,\N,Drama,3806343.0,0.0,68,17,1988-04-17,37.85818181818182,0.8423363636363635,,1406.0,,,,,,,
2382,11297,Groundhog Day,,,,,,,,,,,,,tt0107048,Groundhog Day,101,"Comedy,Fantasy,Romance",19585332.2,33697865.5,176,31,2017-03-19,89.83592592592593,0.8584185185185186,368.48148148148147,1228.0,,,,,,,
2383,11317,Lillian,,,,,,,,,,,,,tt0107419,Lillian,82,Biography,279551.0,0.0,45,5,1986-01-12,19.895714285714284,0.2937857142857143,,1088.0,,,,,,,
2384,11318,Lillian,,,,,,,,,,,,,tt10244754,Lillian,130,Drama,279551.0,0.0,45,5,1986-01-12,19.895714285714284,0.2937857142857143,,1088.0,,,,,,,
2385,11325,Lost in Yonkers,,,,,,,,,,,,,tt0107443,Lost in Yonkers,114,"Comedy,Drama",23275602.0,0.0,780,11,1991-02-17,29.685050505050512,0.7138070707070708,,1368.0,,,,,,,
2386,11326,M. Butterfly,,,,,,,,,,,,,tt0107468,M. Butterfly,101,"Drama,Romance",27409825.770000003,9480788.0,838,28,1988-03-13,36.033727272727276,0.8552009090909092,227.0,1059.3818181818183,,,,,,,
2387,11327,The Secret Rapture,,,,,,,,,,,,,tt0108072,The Secret Rapture,97,"Drama,Romance,Thriller",256723.0,0.0,12,19,1989-10-15,19.5575,0.42485,,1096.0,,,,,,,
2388,11328,Six Degrees of Separation,,,,,,,,,,,,,tt0108149,Six Degrees of Separation,112,"Comedy,Drama,Mystery",18983263.500000004,10606056.0,548,32,1990-11-04,39.20424657534247,0.8247178082191782,197.0,1052.849315068493,,,,,,,
2389,11338,Bullets Over Broadway,,,,,,,,,,,,,tt0109348,Bullets Over Broadway,98,"Comedy,Crime",18176367.0,35585580.0,156,33,2014-03-16,80.34291666666667,0.7381624999999999,252.0,1630.0,,,,,,,
2390,11341,Oleanna,,,,,,,,,,,,,tt0110722,Oleanna,89,"Drama,Thriller",2177335.0,7028640.0,65,15,2009-10-04,55.44,0.6221899999999999,200.0,801.2,,,,,,,
2391,11343,Spoils of War,,,,,,,,,,,,,tt0111266,In Spite of Love,100,"Drama,Family",640059.0,0.0,36,14,1988-10-30,20.96,0.6133857142857142,,1002.8571428571428,,,,,,,
2392,11350,Spoils of War,,,,,,,,,,,,,tt1393003,Spoils of War,87,"Action,War",640059.0,0.0,36,14,1988-10-30,20.96,0.6133857142857142,,1002.8571428571428,,,,,,,
2393,11362,Spring Awakening,,,,,,,,,,,,,tt0111270,Spring Awakening,100,Drama,66156736.90000001,107866137.0,987,51,2006-11-19,72.71360902255641,0.7724601503759402,219.515037593985,1064.4661654135339,,,,,,,
2394,11364,Spring Awakening,,,,,,,,,,,,,tt1417099,Spring Awakening,\N,"Drama,Musical",66156736.90000001,107866137.0,987,51,2006-11-19,72.71360902255641,0.7724601503759402,219.515037593985,1064.4661654135339,,,,,,,
2395,11369,Spring Awakening,,,,,,,,,,,,,tt7461234,Spring Awakening,87,Drama,66156736.90000001,107866137.0,987,51,2006-11-19,72.71360902255641,0.7724601503759402,219.515037593985,1064.4661654135339,,,,,,,
2396,11370,Assassins,,,,,,,,,,,,,tt0112401,Assassins,132,"Action,Crime,Thriller",6024383.0,7282369.0,101,26,2004-04-04,56.58625000000001,0.91409375,91.25,913.25,,,,,,,
2397,11375,Assassins,,,,,,,,,,,,,tt11394276,Assassins,104,Documentary,6024383.0,7282369.0,101,26,2004-04-04,56.58625000000001,0.91409375,91.25,913.25,,,,,,,
2398,11376,Assassins,,,,,,,,,,,,,tt11673946,Assassins,\N,Drama,6024383.0,7282369.0,101,26,2004-04-04,56.58625000000001,0.91409375,91.25,913.25,,,,,,,
2399,11385,Assassins,,,,,,,,,,,,,tt2385003,Assassins,84,"Action,Drama,Thriller",6024383.0,7282369.0,101,26,2004-04-04,56.58625000000001,0.91409375,91.25,913.25,,,,,,,
2400,11394,The Bridges of Madison County,,,,,,,,,,,,,tt0112579,The Bridges of Madison County,135,"Drama,Romance",6729931.0,17361030.0,100,37,2014-01-19,67.01000000000002,0.7327555555555556,223.0,1019.0,,,,,,,
2401,11395,The Heidi Chronicles,,,,,,,,,,,,,tt0113282,The Heidi Chronicles,100,Drama,3257022.0,8911920.0,53,27,2015-03-01,65.062,0.63649,223.0,1001.0,,,,,,,
2402,11396,The Piano Lesson,,,,,,,,,,,,,tt0114127,The Piano Lesson,95,"Drama,Music",6396570.0,0.0,328,8,1990-04-15,24.631904761904767,0.8125904761904762,,949.0,,,,,,,
2403,11402,Redwood Curtain,,,,,,,,,,,,,tt0114252,Redwood Curtain,100,Drama,571015.0,0.0,40,11,1993-03-21,16.858571428571427,0.6404285714285715,,1080.0,,,,,,,
2404,11409,Ink,,,,,,,,,,,,,tt1071804,Ink,107,"Action,Drama,Fantasy",5289106.9,11021080.0,87,24,2019-04-07,88.12500000000001,0.8512285714285713,294.7142857142857,637.0,,,,,,,
2405,11415,Ink,,,,,,,,,,,,,tt11952846,Ink,\N,\N,5289106.9,11021080.0,87,24,2019-04-07,88.12500000000001,0.8512285714285713,294.7142857142857,637.0,,,,,,,
2406,11434,Ink,,,,,,,,,,,,,tt3314034,Ink,\N,"Comedy,Drama",5289106.9,11021080.0,87,24,2019-04-07,88.12500000000001,0.8512285714285713,294.7142857142857,637.0,,,,,,,
2407,11441,Ink,,,,,,,,,,,,,tt4357726,Ink,\N,Horror,5289106.9,11021080.0,87,24,2019-04-07,88.12500000000001,0.8512285714285713,294.7142857142857,637.0,,,,,,,
