,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number
25202,25202,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt0108182,Souvenir,78,Drama,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25203,25203,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt0111249,Souvenir,90,Comedy,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25204,25204,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt0491157,Souvenir,80,Mystery,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25205,25205,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt1525430,Souvenir,83,Drama,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25206,25206,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt2387692,Souvenir,90,"Drama,Music,Romance",945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25207,25207,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt2389092,Souvenir,86,"Comedy,Romance",945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25208,25208,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt3478898,Souvenir,86,Documentary,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25209,25209,Souvenir,90.0,"['Isabelle Huppert', 'Kévin Azaïs', 'Johan Leysen']",['Bavo Defurne'],Not found,Souvenir,0.0,"['Drama', 'Music', 'Romance']",,11411.0,359798.0,0,21 December 2016,tt6473982,Souvenir,\N,Drama,945935.0,4356023.0,68,14,2005-10-30,85994.09090909091,43.12727272727273,0.3761909090909091,86.25,712.1818181818181,2016-01-01,0
25228,25228,Talk Radio,110.0,"['Eric Bogosian', 'Ellen Greene', 'Leslie Hope']",['Oliver Stone'],"Texas, USA",Talk Radio,0.0,"['contentRating: R', 'actor: [', '{', '@type: Person', 'url: /name/nm0091899/', 'name: Eric Bogosian', '}', '{', '@type: Person', 'url: /name/nm0338746/', 'name: Ellen Greene', '}', '{', '@type: Person', 'url: /name/nm0394012/', 'name: Leslie Hope', '}', '{', '@type: Person', 'url: /name/nm0001525/', 'name: John C. McGinley', '}']",4000000.0,3468572.0,3468572.0,4,13 January 1989,tt0096219,Talk Radio,110,Drama,4489013.0,12000900.0,121,29,2007-02-18,236263.84210526317,53.21947368421052,0.5145,251.25,1095.0,1989-01-01,4
25229,25229,Catch Me If You Can,106.0,"['Matt Lattanzi', 'Loryn Locklin', 'Grant Heslov']",['Stephen Sommers'],"Minnesota, USA",Catch Me If You Can,0.0,"['Action', 'Comedy', 'Drama']",800000.0,3686.0,3686.0,2,14 October 1989,tt0097029,Catch Me If You Can,106,"Action,Comedy,Drama",16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,1989-01-01,2
25230,25230,Catch Me If You Can,106.0,"['Matt Lattanzi', 'Loryn Locklin', 'Grant Heslov']",['Stephen Sommers'],"Minnesota, USA",Catch Me If You Can,0.0,"['Action', 'Comedy', 'Drama']",800000.0,3686.0,3686.0,2,14 October 1989,tt0175733,Catch Me If You Can,120,"Action,Comedy,Crime",16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,1989-01-01,2
25231,25231,Catch Me If You Can,106.0,"['Matt Lattanzi', 'Loryn Locklin', 'Grant Heslov']",['Stephen Sommers'],"Minnesota, USA",Catch Me If You Can,0.0,"['Action', 'Comedy', 'Drama']",800000.0,3686.0,3686.0,2,14 October 1989,tt0264464,Catch Me If You Can,141,"Biography,Crime,Drama",16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,1989-01-01,2
