,index,title,FILM_runtime,FILM_stars,FILM_directors,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_release_year
41,5151,Hair,121.0,"['John Savage', 'Treat Williams', ""Beverly D'Angelo""]",['Milos Forman'],Hair,2.0,"['Comedy', 'Drama', 'Musical', 'Romance', 'War']",11000000.0,15284643.0,15313606.0,2,15 March 1979,tt0079261,Hair,121,"Comedy,Drama,Musical",54024621.0,96372435.0,586,40,2009-03-08,77.11531645569623,0.7573898734177218,243.59493670886076,1453.139240506329,2,1979-01-01
42,5153,Hedwig and the Angry Inch,95.0,"['John Cameron Mitchell', 'Miriam Shor', 'Stephen Trask']",['John Cameron Mitchell'],Hedwig and the Angry Inch,1.0,"['Comedy', 'Drama', 'Music', 'Musical']",6000000.0,3067312.0,3644200.0,4,31 August 2001,tt0248845,Hedwig and the Angry Inch,95,"Comedy,Drama,Music",50259435.0,58003942.0,507,22,2014-03-30,107.31064935064933,0.8653142857142857,248.0,1006.7922077922078,4,2001-01-01
43,5154,Gentlemen Prefer Blondes,91.0,"['Jane Russell', 'Marilyn Monroe', 'Charles Coburn']",['Howard Hawks'],Howard Hawks' Gentlemen Prefer Blondes,0.0,"['Comedy', 'Musical', 'Romance']",2260000.0,66692670.50105042,648.0,0,August 1953,tt0018931,Gentlemen Prefer Blondes,75,Comedy,579727.0,0.0,24,16,1995-04-02,29.99,0.5394599999999999,193.88881378501034,899.0,0,1953-01-01
44,5157,Bye Bye Birdie,112.0,"['Dick Van Dyke', 'Ann-Margret', 'Janet Leigh']",['George Sidney'],Bye Bye Birdie,2.0,"['Comedy', 'Musical']",18702908.00559317,13129412.0,117460103.96547368,0,27 May 1963,tt0056891,Bye Bye Birdie,112,"Comedy,Musical",11485459.0,19452830.0,117,40,2009-09-13,75.14500000000001,0.948385,193.88881378501034,1025.85,0,1963-01-01
45,5160,Evita,135.0,"['Madonna', 'Jonathan Pryce', 'Antonio Banderas']",['Alan Parker'],Evita,0.0,"['Biography', 'Drama', 'History', 'Musical']",55000000.0,50047179.0,141047179.0,2,10 January 1997,tt0116250,Evita,135,"Biography,Drama,History",52678175.0,75205550.0,337,26,2012-03-18,110.04434782608689,0.814771739130435,275.0,1607.8260869565217,2,1997-01-01
46,5161,A Chorus Line,113.0,"['Michael Douglas', 'Terrence Mann', 'Michael Blevins']",['Richard Attenborough'],A Chorus Line,3.0,"['Drama', 'Music', 'Musical']",27000000.0,14202899.0,14202899.0,3,20 December 1985,tt0088915,A Chorus Line,113,"Drama,Music,Musical",106462964.0,78772513.0,2799,18,1985-06-09,42.89391549295773,0.6450270422535216,280.6375,1352.456338028169,3,1985-01-01
47,5169,Camelot,179.0,"['Richard Harris', 'Vanessa Redgrave', 'Franco Nero']",['Joshua Logan'],Camelot,0.0,"['Adventure', 'Fantasy', 'Musical', 'Romance']",13000000.0,66692670.50105042,117460103.96547368,1,25 October 1967,tt0061439,Camelot,179,"Adventure,Fantasy,Musical",3714457.0,0.0,56,4,1993-06-20,49.28,0.660525,193.88881378501034,1933.0,1,1967-01-01
48,5173,The King and I,133.0,"['Yul Brynner', 'Deborah Kerr', 'Rita Moreno']",['Walter Lang'],Rodgers and Hammerstein's The King and I,0.0,"['Biography', 'Drama', 'Musical', 'Romance']",4550000.0,66692670.50105042,117460103.96547368,1,29 June 1956,tt0049408,The King and I,133,"Biography,Drama,Musical",104763449.0,101543566.0,1296,66,1985-06-09,75.92412790697672,0.8611418604651166,159.44171779141104,1220.4825581395348,1,1956-01-01
49,5191,Oklahoma!,145.0,"['Gordon MacRae', 'Gloria Grahame', 'Gene Nelson']",['Fred Zinnemann'],Oklahoma!,0.0,"['Comedy', 'Drama', 'Musical', 'Romance', 'Western']",5000000.0,66692670.50105042,15520.0,1,23 November 1956,tt0048445,Oklahoma!,145,"Comedy,Drama,Musical",22808138.50000001,32646683.0,328,22,2019-03-24,106.98545454545456,0.9323727272727272,249.5,650.5909090909091,1,1956-01-01
50,5206,42nd Street,89.0,"['Warner Baxter', 'Bebe Daniels', 'George Brent']",['Lloyd Bacon'],Forty-Second Street,2.0,"['Comedy', 'Musical', 'Romance']",439000.0,66692670.50105042,1600.0,0,11 March 1933,tt0024034,42nd Street,89,"Comedy,Musical,Romance",178252977.0,204319435.0,3028,31,1985-06-09,45.022109375000035,0.7031236979166672,99.01658163265341,1720.96875,0,1933-01-01
51,5214,An American in Paris,114.0,"['Gene Kelly', 'Leslie Caron', 'Oscar Levant']",['Vincente Minnelli'],An American in Paris,0.0,"['Drama', 'Musical', 'Romance']",2723903.0,267824.0,272619.0,0,11 November 1951,tt0043278,An American in Paris,114,"Drama,Musical,Romance",84257200.0,118052015.0,615,29,2015-03-15,95.5464634146341,0.8084353658536583,223.0,1676.658536585366,0,1951-01-01
52,5215,The Music Man,151.0,"['Robert Preston', 'Shirley Jones', 'Buddy Hackett']",['Morton DaCosta'],Meredith Willson's The Music Man,0.0,"['Comedy', 'Family', 'Musical', 'Romance']",4240000.0,66692670.50105042,117460103.96547368,1,19 June 1962,tt0056262,The Music Man,151,"Comedy,Family,Musical",45976995.0,65637152.0,699,22,2000-04-09,60.88120879120878,0.775108791208791,86.04395604395604,1330.0,1,1962-01-01
53,5217,Gigi,115.0,"['Leslie Caron', 'Maurice Chevalier', 'Louis Jourdan']","['Vincente Minnelli', 'Charles Walters']",The Parisians,0.0,"['Comedy', 'Musical', 'Romance']",3319355.0,66692670.50105042,117460103.96547368,1,25 June 1958,tt0041414,Gigi,82,"Comedy,Romance",7028015.0,17696340.0,86,20,2015-03-22,72.80357142857143,0.6706571428571427,198.0,1378.4285714285713,1,1958-01-01
54,5223,High Society,111.0,"['Bing Crosby', 'Grace Kelly', 'Frank Sinatra']",['Charles Walters'],High Society,2.0,"['Comedy', 'Musical', 'Romance']",2700000.0,66692670.50105042,117460103.96547368,0,17 July 1956,tt0048166,High Society,61,Comedy,7317557.0,10252244.0,144,27,1998-04-05,43.35363636363636,0.6014727272727272,60.0,1635.0,0,1956-01-01
55,5228,Billy Elliot,169.0,"['Elliott Hanna', 'Ollie Jochim', 'Bradley Perret']","['Stephen Daldry', 'Brett Sullivan']",Billy Elliot,0.0,"['Comedy', 'Drama', 'Music', 'Musical']",18702908.00559317,66692670.50105042,3705169.0,0,12 November 2014,tt0249462,Billy Elliot,110,"Drama,Music",183514378.0,218727543.0,1312,40,2008-10-05,101.88052631578951,0.9296824561403515,268.4561403508772,1420.9941520467837,0,2014-01-01
56,5229,South Pacific,157.0,"['Rossano Brazzi', 'Mitzi Gaynor', 'John Kerr']",['Joshua Logan'],South Pacific,0.0,"['Musical', 'Romance', 'War']",6000000.0,458000.0,458000.0,0,14 April 1958,tt0052225,South Pacific,157,"Musical,Romance,War",96488869.0,125340445.0,996,37,2008-03-02,99.18415384615386,0.8983676923076925,121.07575757575758,1041.076923076923,0,1958-01-01
57,5233,Sweet Charity,149.0,"['Shirley MacLaine', 'John McMartin', 'Ricardo Montalban']",['Bob Fosse'],Sweet Charity: The Adventures of a Girl Who Wanted to Be Loved,3.0,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",20000000.0,66692670.50105042,117460103.96547368,1,17 May 1969,tt0065054,Sweet Charity,149,"Comedy,Drama,Music",34027372.0,38179513.0,648,40,1986-04-20,46.746860465116264,0.7048872093023256,100.19736842105263,1533.0697674418604,1,1969-01-01
58,5234,A Funny Thing Happened on the Way to the Forum,99.0,"['Zero Mostel', 'Phil Silvers', 'Buster Keaton']",['Richard Lester'],A Funny Thing Happened on the Way to the Forum,0.0,"['Comedy', 'Musical']",2000000.0,66692670.50105042,117460103.96547368,0,16 October 1966,tt0060438,A Funny Thing Happened on the Way to the Forum,99,"Comedy,Musical",48856284.0,26816104.0,715,35,1996-03-24,51.99308510638297,0.7623734042553194,70.0,1617.0,0,1966-01-01
59,5235,Man of La Mancha,132.0,"[""Peter O'Toole"", 'Sophia Loren', 'James Coco']",['Arthur Hiller'],Man of La Mancha,1.0,"['Drama', 'Fantasy', 'Musical', 'Romance']",12000000.0,66692670.50105042,117460103.96547368,2,8 September 1973,tt0068909,Man of La Mancha,132,"Drama,Fantasy,Musical",30502141.0,36630327.0,412,44,1992-04-05,59.97793103448278,0.7624551724137931,222.3170731707317,1467.1379310344828,2,1973-01-01
