,Unnamed: 0,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
52,52,Valley Girl,102,"['Jessica Rothe', 'Josh Whitehouse', 'Jessie Ennis']",['Rachel Lee Goldenberg'],"Los Angeles, California, USA",Valley Girl,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,"$7,671",PG-13,8 May 2020 (USA)
53,53,The Phantom of the Opera,143,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson']",['Joel Schumacher'],"London, England, UK",Andrew Lloyd Webber's The Phantom of the Opera,3,"['Drama', 'Musical', 'Romance', 'Thriller']","$70,000,000
            ","$51,268,815","$154,648,887",PG-13,10 December 2004 (UK)
54,54,Corpse Bride,77,"['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson']","['Tim Burton', 'Mike Johnson']","England, UK",Tim Burton's Corpse Bride,1,"['Animation', 'Drama', 'Family', 'Fantasy', 'Musical', 'Romance']","$40,000,000
            ","$53,359,111","$118,090,836",PG,23 September 2005 (USA)
55,55,Into the Woods,125,"['Anna Kendrick', 'Meryl Streep', 'Chris Pine']",['Rob Marshall'],"Shepperton Studios, Shepperton, Surrey, England, UK",Into the Woods,3,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Musical']","$50,000,000
            ","$128,002,372","$212,902,372",PG,25 December 2014 (USA)
56,56,Enchanted,107,"['Amy Adams', 'Susan Sarandon', 'James Marsden']",['Kevin Lima'],"New York, USA",Enchanted,3,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$85,000,000
            ","$127,807,262","$340,487,652",PG,21 November 2007 (USA)
57,57,Phineas and Ferb the Movie: Candace Against the Universe,86,"['Vincent Martella', 'Dee Bradley Baker', 'Ashley Tisdale']",['Bob Bowen'],Not found,Phineas and Ferb the Movie: Candace Against the Universe,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical', 'Sci-Fi']",Not found,Not found,"$5,689,121",TV-G,28 August 2020 (USA)
58,58,The Little Mermaid - IMDb</title>,Not found,"['Melissa McCarthy', 'Javier Bardem', 'Jacob Tremblay']",['Rob Marshall'],Puerto Rico,The Little Mermaid,0,"['Family', 'Fantasy', 'Musical', 'Romance']",Not found,Not found,Not found,,Not found
59,59,The Prince of Egypt,99,"['Val Kilmer', 'Ralph Fiennes', 'Michelle Pfeiffer']","['Brenda Chapman', 'Steve Hickner']","Glendale, California, USA",The Prince of Egypt,0,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']","$70,000,000
            ","$101,413,188","$218,613,188",PG,18 December 1998 (USA)
60,60,Robin Hood: Men in Tights,104,"['Cary Elwes', 'Richard Lewis', 'Roger Rees']",['Mel Brooks'],"Santa Clarita, California, USA",Robbin' the Hood,0,"['Adventure', 'Comedy', 'Musical', 'Romance']","$20,000,000
            ","$35,739,755","$35,739,755",PG-13,28 July 1993 (USA)
61,61,Annie,127,"['Aileen Quinn', 'Albert Finney', 'Carol Burnett']",['John Huston'],"Plaza Hotel, New Jersey, USA",Annie,2,"['Comedy', 'Drama', 'Family', 'Musical']","$50,000,000
            ","$57,059,003","$57,059,003",PG,18 June 1982 (USA)
62,62,Pocahontas,81,"['Mel Gibson', 'Linda Hunt', 'Christian Bale']","['Mike Gabriel', 'Eric Goldberg']","Walt Disney Studios Motion Pictures - 500 S. Buena Vista Street, Burbank, California, USA",Pocahontas,0,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical', 'Romance']","$55,000,000
            ","$141,579,773","$346,079,773",G,23 June 1995 (USA)
63,63,The Hunchback of Notre Dame,91,"['Demi Moore', 'Jason Alexander', 'Mary Kay Bergman']","['Gary Trousdale', 'Kirk Wise']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",The Hunchback of Notre Dame,1,"['Animation', 'Drama', 'Family', 'Musical', 'Romance']","$100,000,000
            ","$100,138,851","$325,338,851",G,21 June 1996 (USA)
64,64,Fame,134,"['Eddie Barth', 'Irene Cara', 'Lee Curreri']",['Alan Parker'],"Church of Saint Mary the Virgin 145 West 46th Street, Manhattan, New York City, New York, USA",Hot Lunch,0,"['Drama', 'Music', 'Musical']",Not found,"$21,202,829","$21,202,829",R,16 May 1980 (USA)
65,65,Hairspray,117,"['John Travolta', 'Queen Latifah', 'Nikki Blonsky']",['Adam Shankman'],"Lakeview Restaurant, 1132 Dundas Street. W, Toronto, Ontario",Hairspray,3,"['Comedy', 'Drama', 'Musical', 'Romance']","$75,000,000
            ","$118,871,849","$203,552,922",PG,20 July 2007 (USA)
66,66,Singin' in the Rain,103,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']","['Stanley Donen', 'Gene Kelly']","Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",Singin' in the Rain,2,"['Comedy', 'Musical', 'Romance']","$2,540,800
            ","$1,826,108","$1,864,182",G,11 April 1952 (USA)
67,67,The Jungle Book,78,"['Phil Harris', 'Sebastian Cabot', 'Louis Prima']","['Wolfgang Reitherman', 'James Algar']","Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",The Jungle Book,1,"['Animation', 'Adventure', 'Family', 'Musical']","$4,000,000
            ","$141,843,612","$210,310,084",G,18 October 1967 (USA)
68,68,Dreamgirls,130,"['Beyoncé', 'Jamie Foxx', 'Eddie Murphy']",['Bill Condon'],"Chatsworth, California, USA",Dreamgirls,0,"['Drama', 'Music', 'Musical']","$70,000,000
            ","$103,365,956","$155,430,335",PG-13,25 December 2006 (USA)
69,69,Anastasia,94,"['Meg Ryan', 'John Cusack', 'Christopher Lloyd']","['Don Bluth', 'Gary Goldman']","Fox Animation Studios - 2747 E. Camelback Road, Phoenix, Arizona, USA",The Music Box,2,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical', 'Mystery', 'Romance']","$50,000,000
            ","$58,406,347","$139,804,348",G,21 November 1997 (USA)
70,70,In the Heights,Not found,"['Lin-Manuel Miranda', 'Stephanie Beatriz', 'Anthony Ramos']",['Jon M. Chu'],"Washington Heights, New York City, New York, USA",In the Heights,0,"['Drama', 'Music', 'Musical', 'Romance']",Not found,Not found,Not found,PG-13,18 June 2021 (USA)
71,71,Raya and the Last Dragon,Not found,"['Kelly Marie Tran', 'Awkwafina']","['Don Hall', 'Carlos López Estrada']",Not found,Raya and the Last Dragon,0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",Not found,Not found,Not found,,12 March 2021 (USA)
72,72,Pinocchio,Not found,"['Burn Gorman', 'Ewan McGregor', 'Cate Blanchett']","['Guillermo del Toro', 'Mark Gustafson']","Portland, Oregon, USA",Pinóquio,0,"['Animation', 'Fantasy', 'Musical']",Not found,Not found,Not found,,2021 (USA)
73,73,The Lego Movie 2: The Second Part,107,"['Chris Pratt', 'Elizabeth Banks', 'Will Arnett']",['Mike Mitchell'],"Fox Studios, Moore Park, Sydney, New South Wales, Australia",The Lego Movie 2: The Second Part,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","$99,000,000
            ","$105,806,508","$192,306,508",PG,8 February 2019 (USA)
74,74,The Lorax,86,"['Zac Efron', 'Taylor Swift', 'Danny DeVito']","['Chris Renaud', 'Kyle Balda']",Not found,Dr. Seuss' The Lorax: An IMAX 3D Experience,0,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']","$70,000,000
            ","$214,030,500","$348,840,316",PG,2 March 2012 (USA)
75,75,Royal Wedding,93,"['Fred Astaire', 'Jane Powell', 'Peter Lawford']",['Stanley Donen'],"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",Royal Wedding,1,"['Comedy', 'Musical', 'Romance']","$1,590,920
            ",Not found,Not found,Not Rated,23 March 1951 (USA)
76,76,Snow White and the Seven Dwarfs,83,"['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne']","['William Cottrell', 'David Hand']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Walt Disney's Snow White and the Seven Dwarfs,1,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","$1,499,000
            ","$184,925,486","$184,925,486",Approved,4 February 1938 (USA)
77,77,Oliver!,153,"['Mark Lester', 'Ron Moody', 'Shani Wallis']",['Carol Reed'],"Shepperton Studios, Shepperton, Surrey, England, UK",Oliver!,0,"['Drama', 'Family', 'Musical']","$10,000,000
            ",Not found,Not found,G,27 September 1968 (UK)
78,78,Popeye,114,"['Robin Williams', 'Shelley Duvall', 'Ray Walston']",['Robert Altman'],Malta,Popeye,0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']","$20,000,000
            ","$49,823,037","$49,823,037",PG,12 December 1980 (USA)
79,79,The Muppets,103,"['Amy Adams', 'Jason Segel', 'Chris Cooper']",['James Bobin'],"Santa Barbara, California, USA",The Greatest Muppet Movie Ever Made,0,"['Adventure', 'Comedy', 'Family', 'Musical']","$45,000,000
            ","$88,631,237","$165,184,237",PG,23 November 2011 (USA)
80,80,Rio,96,"['Jesse Eisenberg', 'Anne Hathaway', 'George Lopez']",['Carlos Saldanha'],Not found,Rio: The Movie,1,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Musical']","$90,000,000
            ","$143,619,809","$483,866,518",G,15 April 2011 (USA)
81,81,Earth Girls Are Easy,100,"['Geena Davis', 'Jeff Goldblum', 'Jim Carrey']",['Julien Temple'],"19625 Bryant Street Northridge, Los Angeles, California, USA",Earth Girls Are Easy,0,"['Comedy', 'Musical', 'Romance', 'Sci-Fi']","$10,000,000
            ","$3,916,303","$3,916,303",PG,12 May 1989 (USA)
