,Unnamed: 0,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
4021,4021,Saeta del ruiseñor,77,"['Joselito', 'Ivy Bless', 'Archibald L. Lyall']",['Antonio del Amo'],"Priego de Córdoba, Córdoba, Andalucía, Spain",I prosefhi tou orfanou,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0422967/', 'name: Joselito', '}', '{', '@type: Person', 'url: /name/nm0088259/', 'name: Ivy Bless', '}', '{', '@type: Person', 'url: /name/nm0527884/', 'name: Archibald L. Lyall', '}', '{', '@type: Person', 'url: /name/nm0481383/', 'name: Vicky Lagos', '}']",Not found,Not found,Not found,,20 December 1934 (Austria)
4022,4022,Bhishma,165,"['Anjali Devi', 'Taraka Rama Rao Nandamuri', 'Haranath']",['Subba Rao B.A.'],Not found,Not found,0,"['Musical', 'Drama']",Not found,Not found,Not found,,16 January 1959 (Mexico)
4023,4023,Tango on the Campania,174,"['Yuta Furukawa', 'Reo Uchikawa', 'Takuya Uehara']",['Nobuhiro Mouri'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm3125433/', 'name: Yuta Furukawa', '}', '{', '@type: Person', 'url: /name/nm8953376/', 'name: Reo Uchikawa', '}', '{', '@type: Person', 'url: /name/nm2204414/', 'name: Takuya Uehara', '}', '{', '@type: Person', 'url: /name/nm10026156/', 'name: Motohisa Harashima', '}']","JPY700,000
            ",Not found,Not found,,19 April 1962 (India)
4024,4024,Shikari,Not found,"['Ashok Kumar', 'Veera', 'Paro']",['Savak B. Vacha'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0006369/', 'name: Ashok Kumar', '}', '{', '@type: Person', 'url: /name/nm0891743/', 'name: Veera', '}', '{', '@type: Person', 'url: /name/nm0663234/', 'name: Paro', '}', '{', '@type: Person', 'url: /name/nm0474822/', 'name: Kishore Kumar', '}']",Not found,Not found,Not found,,27 July 2018 (Japan)
4025,4025,Sing to the Dawn,93,"['Indra Bekti', 'Brad Bowyer', 'Jason Chan']",['Philip Mitchell'],Not found,Meraih Mimpi,0,"['Animation', 'Family', 'Musical']",Not found,Not found,"$180,173",,Not found
4026,4026,Le rossignol et les cloches,92,"['Gérard Barbeau', 'Nicole Germain', 'Jean Coutu']",['René Delacroix'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0053311/', 'name: Gérard Barbeau', '}', '{', '@type: Person', 'url: /name/nm0314477/', 'name: Nicole Germain', '}', '{', '@type: Person', 'url: /name/nm0184277/', 'name: Jean Coutu', '}', '{', '@type: Person', 'url: /name/nm0126843/', 'name: Juliette Béliveau', '}']",Not found,Not found,Not found,,30 October 2008 (Singapore)
4027,4027,White Pop Jesus,94,"['Awana Gana', 'Stella Carnacina', 'Gisela Hahn']",['Luigi Petrini'],Not found,White Pop Jesus,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,29 February 1952 (Canada)
4028,4028,The Threepenny Opera - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['Drama', 'Musical']",Not found,Not found,Not found,,1980 (Italy)
4029,4029,Jatt in London,Not found,"['Sultan Rahi', 'Aasia', 'Mustafa Qureshi']",['Yunus Malik'],Pakistan,Not found,0,"['Action', 'Musical']",Not found,Not found,Not found,,Not found
4030,4030,Pethainontas stin Athina,103,"['Spiros Papadopoulos', 'Maria Nafpliotou', 'Maria Solomou']",['Nikos Panayotopoulos'],Not found,Athéni búcsú,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,"$67,700",Not Rated,27 November 1981 (Pakistan)
4031,4031,Vagabond Violinist,62,"['John Garrick', 'Margot Grahame', 'Merle Oberon']",['Bernard Vorhaus'],"Twickenham Studios, Twickenham, Middlesex, England, UK",Vagabond Violinist,0,"['Drama', 'Musical']",Not found,Not found,Not found,,2 November 2006 (Greece)
4032,4032,Khataf Merati,105,"['Sabah', 'Anwar Wagdi', 'Layla Fawzi']",['Hasan El-Saifi'],Not found,He Stole My Wife,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,,3 December 1934 (UK)
4033,4033,Dhamkee,132,"['Vinod Khanna', 'Kumkum', 'Mehmood Jr.']",['Kalpataru'],"Asha Studios, Chembur, Mumbai, Maharashtra, India",Not found,0,"['Action', 'Crime', 'Drama', 'Musical']",Not found,Not found,Not found,Not Rated,7 March 1954 (Egypt)
4034,4034,Ivan Megharoopan,110,"['Prakash Bare', 'Padmapriya', 'Shweta Menon']",['P. Balachandran'],Not found,Not found,0,"['Biography', 'Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,20 July 1973 (India)
4035,4035,Magic Mirror,102,Not found,['Tomislav Zaja'],Not found,Not found,0,"['Drama', 'Musical']",Not found,Not found,Not found,,27 July 2012 (India)
4036,4036,Head Over Heels in Love,84,"['Jessie Matthews', 'Louis Borel', 'Robert Flemyng']",['Sonnie Hale'],"Gainsborough Studios, Shepherd's Bush, London, England, UK",Head Over Heels in Love,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0560056/', 'name: Jessie Matthews', '}', '{', '@type: Person', 'url: /name/nm0096302/', 'name: Louis Borel', '}', '{', '@type: Person', 'url: /name/nm0281866/', 'name: Robert Flemyng', '}', '{', '@type: Person', 'url: /name/nm0100066/', 'name: Whitney Bourne', '}']",Not found,Not found,Not found,,2017 (USA)
4037,4037,Cuore matto... matto da legare,96,"['Little Tony', 'Eleonora Brown', 'Ferruccio Amendola']",['Mario Amendola'],Not found,Inimă nebună... nebună de legat,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0514510/', 'name: Little Tony', '}', '{', '@type: Person', 'url: /name/nm0113505/', 'name: Eleonora Brown', '}', '{', '@type: Person', 'url: /name/nm0024582/', 'name: Ferruccio Amendola', '}', '{', '@type: Person', 'url: /name/nm0281316/', 'name: Lucio Flauto', '}']",Not found,Not found,Not found,,12 February 1937 (USA)
4038,4038,Jack and the Beanstalk,62,"['Mitch Poulos', 'Dorothy Stokes', 'Renato Boracherro']",['Barry Mahon'],"Pirates World Amusement Park - Sheridan Street, Dania, Florida, USA",Jack y la habichuela gigante,0,"['Family', 'Fantasy', 'Musical']",Not found,Not found,Not found,G,Not found
4039,4039,Swara Kalpana,146,"['SriRam Edida', 'Seetha', 'J.V. Somayajulu']","['Vamsy', 'Venkat Maddirala']",Not found,Not found,0,"['Musical', 'Drama']",Not found,Not found,Not found,Not Rated,December 1970 (USA)
4040,4040,The Merry Wives of Windsor,92,"['Sonja Ziemann', 'Rita Streich', 'Camilla Spira']",['Georg Wildhagen'],Not found,The Merry Wives of Windsor,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,,Not found
4041,4041,The Enchanted Sword,74,"['Carme Contreras', 'Lolita Durán', 'Emilio Fábregas']","['Arturo Moreno', 'José María Blay']",Not found,The Enchanted Sword,0,"['Animation', 'Adventure', 'Musical']",Not found,Not found,Not found,,20 September 1952 (USA)
4042,4042,Ganga Addara,Not found,"['Vasanthi Chathurani', 'Sanath Gunathilake', 'Vijaya Kumaratunga']",['Sumitra Peries'],Sri Lanka,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0154052/', 'name: Vasanthi Chathurani', '}', '{', '@type: Person', 'url: /name/nm0348018/', 'name: Sanath Gunathilake', '}', '{', '@type: Person', 'url: /name/nm0474919/', 'name: Vijaya Kumaratunga', '}', '{', '@type: Person', 'url: /name/nm0709392/', 'name: Tony Ranasinghe', '}']",Not found,Not found,Not found,,27 May 1948 (Hungary)
4043,4043,Kahin Aar Kahin Paar,137,"['Joy Mukherjee', 'Vimi', 'Helen']",['Maruti'],"Shree Sound Studio, Dadar, Mumbai, Maharashtra, India",Not found,0,"['Action', 'Comedy', 'Crime', 'Musical']",Not found,Not found,Not found,,1980 (Sri Lanka)
4044,4044,Snow White,116,"['Aimee Ehrlich', 'Ruth Richie', 'Eleanor Assmus']",['Charles Weston'],Not found,The Grimm Brother's Snow White,0,"['Adventure', 'Family', 'Fantasy', 'Romance', 'Horror', 'Musical']",Not found,Not found,Not found,,23 January 1971 (India)
4045,4045,Highest Pressure,97,"['Dino', 'Gianni Morandi', 'Rosemary Dexter']",['Enzo Trapani'],"Rome, Lazio, Italy",Highest Pressure,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0227801/', 'name: Dino', '}', '{', '@type: Person', 'url: /name/nm0603027/', 'name: Gianni Morandi', '}', '{', '@type: Person', 'url: /name/nm0223326/', 'name: Rosemary Dexter', '}', '{', '@type: Person', 'url: /name/nm0135742/', 'name: Fabrizio Capucci', '}']",Not found,Not found,Not found,,Not found
4046,4046,Jekyll &amp; Hyde - IMDb</title>,Not found,Not found,Not found,Not found,Not found,0,"['Drama', 'Horror', 'Musical', 'Romance', 'Sci-Fi']",Not found,Not found,Not found,,2 September 1965 (Italy)
4047,4047,Feryada gücüm yok,Not found,"['Orhan Gencebay', 'Müjde Ar', 'Pembe Mutlu']",['Serif Gören'],Not found,Not found,0,"['Drama', 'Musical']",Not found,Not found,Not found,,Not found
4048,4048,Song of the West,82,"['John Boles', 'Vivienne Segal', 'Joe E. Brown']",['Ray Enright'],"Alabama Hills, Lone Pine, California, USA",En västerns son,0,"['Action', 'Adventure', 'Musical', 'Romance', 'Western']",Not found,Not found,Not found,Passed,Not found
4049,4049,'Till Death,55,"['Kintarô Aoyama', 'Kyle Card', 'Cynthia Cheston']",['Tsubasa Tomori'],Not found,Not found,0,"['Comedy', 'Musical', 'Mystery']",Not found,Not found,Not found,,15 March 1930 (USA)
4050,4050,Moonlight Masquerade,67,"[""Dennis O'Keefe"", 'Jane Frazee', 'Betty Kean']",['John H. Auer'],"Republic Studios - 4024 Radford Avenue, North Hollywood, Los Angeles, California, USA",Condenados a casarse,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Approved,Not found
4051,4051,Annie Brocoli dans les fonds marins,78,['Annie Grenier'],['Claude Brie'],"Montréal, Québec, Canada",Not found,0,"['Comedy', 'Family', 'Musical']",Not found,"$374,360","$374,360",,10 June 1942 (USA)
4052,4052,"Io non protesto, io amo",98,"['Caterina Caselli', 'Terence Hill', 'Livio Lorenzon']",['Ferdinando Baldi'],Not found,Mindhalálig Rock and Roll,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,19 December 2003 (Canada)
4053,4053,Kiki,87,"['Mary Pickford', 'Reginald Denny', 'Joseph Cawthorn']",['Sam Taylor'],Not found,お転婆キキ（1931）,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0681933/', 'name: Mary Pickford', '}', '{', '@type: Person', 'url: /name/nm0219666/', 'name: Reginald Denny', '}', '{', '@type: Person', 'url: /name/nm0147248/', 'name: Joseph Cawthorn', '}', '{', '@type: Person', 'url: /name/nm0515272/', 'name: Margaret Livingston', '}']","$810,568
            ",Not found,Not found,,22 March 1967 (Italy)
4054,4054,Nancy Nancy,90,"['Tim Burns', 'Michael Burkett', 'Polly Stanton']",['Timothy Spanos'],Not found,Not found,0,"['Comedy', 'Drama', 'Musical']","AUD20,000
            ",Not found,Not found,,14 March 1931 (USA)
4055,4055,In fiecare zi mi-e dor de tine,90,"['Stela Popescu', 'Marin Moraru', 'Jean Constantin']",['Gheorghe Vitanidis'],Romania,You Are Always in My Heart,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0691249/', 'name: Stela Popescu', '}', '{', '@type: Person', 'url: /name/nm0603114/', 'name: Marin Moraru', '}', '{', '@type: Person', 'url: /name/nm0176037/', 'name: Jean Constantin', '}', '{', '@type: Person', 'url: /name/nm1688422/', 'name: David Ohanesian', '}']",Not found,Not found,Not found,,23 August 2006 (USA)
4056,4056,Trhák,94,"['Hana Zagorová', 'Josef Abrhám', 'Juraj Kukura']",['Zdenek Podskalský'],Not found,The Hit,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,23 May 1988 (Romania)
4057,4057,Yolanta,82,"['Natalya Rudnaya', 'Fyodor Nikitin', 'Yuriy Perov']",['Vladimir Gorikker'],Not found,Yolanta,0,"['Fantasy', 'Musical']",Not found,Not found,Not found,,1 April 1981 (Czechoslovakia)
4058,4058,Voices of Compassion,108,"['Victoria Asher', 'Alex Boniello', 'Greg Cipes']",['Nik Tyler'],Not found,Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm1994870/', 'name: Victoria Asher', '}', '{', '@type: Person', 'url: /name/nm4948994/', 'name: Alex Boniello', '}', '{', '@type: Person', 'url: /name/nm0996651/', 'name: Greg Cipes', '}', '{', '@type: Person', 'url: /name/nm1591620/', 'name: Juan Pablo Di Pace', '}']",Not found,Not found,Not found,,1963 (Latvia)
4059,4059,Stage Door Divas,83,"['Alan Palmer', 'Monica Allan', 'Dianne Baker']",['Eric Inman'],Not found,Not found,0,"['Documentary', 'Biography', 'Musical']",Not found,Not found,Not found,,11 April 2020 (USA)
4060,4060,A Blonde Dream,86,"['Lilian Harvey', 'Jack Hulbert', 'Cicely Courtneidge']","['Paul Martin', 'Robert Stevenson']","Berlin, Germany",A Blonde Dream,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0367613/', 'name: Lilian Harvey', '}', '{', '@type: Person', 'url: /name/nm0401323/', 'name: Jack Hulbert', '}', '{', '@type: Person', 'url: /name/nm0183877/', 'name: Cicely Courtneidge', '}', '{', '@type: Person', 'url: /name/nm0355010/', 'name: Sonnie Hale', '}']",Not found,Not found,Not found,,Not found
4061,4061,Be Yourself!,65,"['Fanny Brice', 'Robert Armstrong', 'Harry Green']",['Thornton Freeland'],Not found,Astúcia Feminina,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Passed,13 February 1933 (UK)
4062,4062,Out of My Comfort Zone - IMDb</title>,Not found,"['Igby Rigney', 'Don Puglisi', 'Regina Palian']",['Ivy Vale'],Not found,Not found,0,"['Comedy', 'Drama', 'Family', 'Musical']",Not found,Not found,Not found,,8 February 1930 (USA)
4063,4063,Koti Takar Kabin,156,"['Shakib Khan', 'Apu Biswas', 'Monwar Hossain Dipjol']",['F.I. Manik'],"Police Training Centre, Mohera, Tangail, Bangladesh",Not found,0,"['Action', 'Drama', 'Musical']",Not found,Not found,Not found,,Not found
4064,4064,W le donne,94,"['Little Tony', 'Stefania Doria', 'Luciano Fineschi']",['Aldo Grimaldi'],"Cavalieri Hilton Hotel, Rome, Lazio, Italy",Franco-Ciccio: Oi dyo zorikoi ekpaideftes,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,5 May 2006 (Bangladesh)
4065,4065,Falling for You,88,"['Jack Hulbert', 'Cicely Courtneidge', 'Tamara Desni']","['Jack Hulbert', 'Robert Stevenson']","Gainsborough Studios, Islington, London, England, UK",Rivalidades,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,4 September 1970 (Italy)
4066,4066,"#73, Shaanthi Nivaasa",157,"['Sudeep', 'Anu Prabhakar', 'Deepa Bhaskar']",['Sudeep'],Not found,"No. 73, Shanthi Nivasa",0,"['Drama', 'Family', 'Musical']",Not found,Not found,Not found,,1 August 1936 (Portugal)
4067,4067,Just Another Story,100,"['GQ', 'Jaclyn DeSantis', 'Omar Scroggins']",['GQ'],Not found,Sólo otra historia más,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,R,15 June 2007 (India)
4068,4068,Chooriyan,Not found,"['Vinod Khanna', 'Sudhanshu Pandey', 'Mohnish Bahl']",['Sukhwant Dhadda'],Not found,Not found,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,1 July 2006 (Japan)
4069,4069,Golata istina za grupa Zhiguli - IMDb</title>,Not found,"['Phillip Avramov', 'Mihail Bilalov', 'Paraskeva Djukelova']",['Victor Bojinov'],Not found,The Naked Truth About Zhiguli Band,0,"['Comedy', 'Drama', 'Musical']",Not found,Not found,Not found,,19 June 2015 (India)
4070,4070,Honey,75,"['Nancy Carroll', 'Harry Green', 'Lillian Roth']",['Wesley Ruggles'],"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",Honey: A Musical Farce,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Passed,Not found
4071,4071,Teatro Apolo,105,"['Jorge Negrete', 'María de los Ángeles Morales', 'Juan Espantaleón']",['Rafael Gil'],"Estudios CEA, Madrid, Spain",Melodias de Outrora,0,"['Musical', 'Romance']",Not found,Not found,Not found,,29 March 1930 (USA)
4072,4072,Ostrov sokrovishch. Karta kapitana Flinta,48,"['Armen Dzhigarkhanyan', 'Viktor Andrienko', 'Valeriy Bessarab']",['David Cherkasskiy'],Not found,Остров сокровищ. Карта капитана Флинта,0,"['Animation', 'Adventure', 'Comedy', 'Musical']",Not found,Not found,Not found,,30 October 1950 (Spain)
4073,4073,My Heart Is Calling,86,"['Jan Kiepura', 'Mártha Eggerth', 'Sonnie Hale']",['Carmine Gallone'],Not found,Dla ciebie śpiewam,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0452549/', 'name: Jan Kiepura', '}', '{', '@type: Person', 'url: /name/nm0250964/', 'name: Mártha Eggerth', '}', '{', '@type: Person', 'url: /name/nm0355010/', 'name: Sonnie Hale', '}', '{', '@type: Person', 'url: /name/nm0906775/', 'name: Hugh Wakefield', '}']",Not found,Not found,Not found,,1986 (Soviet Union)
4074,4074,El pequeño ruiseñor,98,"['Joselito', 'Lina Canalejas', 'Luis Induni']",['Antonio del Amo'],Not found,O Pequeno Rouxinol,0,"['Drama', 'Family', 'Musical']",Not found,Not found,Not found,,8 April 1935 (UK)
4075,4075,Zum zum zum n° 2,93,"['Peppino De Filippo', 'Pippo Baudo', 'Little Tony']",['Bruno Corbucci'],Not found,Zum Zum zum n. 2 - Sarà capitato anche a voi,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,1959 (USA)
4076,4076,Escándalo de estrellas,87,"['Pedro Infante', 'Blanquita Amaro', 'Florencio Castelló']",['Ismael Rodríguez'],Not found,Sopa de estrellas,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Not Rated,29 October 1969 (Italy)
4077,4077,Say It with Songs,95,"['Al Jolson', 'Davey Lee', 'Marian Nixon']",['Lloyd Bacon'],"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",Cantaré para ti,0,"['Drama', 'Musical']",Not found,Not found,Not found,Passed,1 December 1944 (Mexico)
4078,4078,Hasan wa Naimah,104,"['Muharram Fuad', 'Suad Husni', 'Mohammed Tawfik']",['Henry Barakat'],Not found,Hassan and Nayima,0,"['Drama', 'Musical', 'Romance']",Not found,Not found,Not found,,24 January 1930 (Ireland)
4079,4079,Acht Mädels im Boot,81,"['Karin Hardt', 'Theodor Loos', 'Helmuth Kionka']",['Erich Waschneck'],Not found,Eight Girls in a Boat,0,"['Drama', 'Musical']",Not found,Not found,Not found,,2 March 1959 (Egypt)
4080,4080,Geudaen naui baempaieo,99,"['Yoon-young Choi', 'Jong-goo Kim']",['Hoi Lee'],Not found,You Are My Vampire,0,"['Family', 'Fantasy', 'Musical']",Not found,Not found,Not found,Not Rated,21 September 1932 (Germany)
4081,4081,Facelift,90,"['Martin Shaw', 'Clarke Peters', 'Sue Jones-Davies']",['Tony Bicât'],Not found,Not found,0,"['Musical', 'Sci-Fi']",Not found,Not found,Not found,,12 June 2014 (South Korea)
4082,4082,Two Señoritas from Chicago,68,"['Joan Davis', 'Jinx Falkenburg', 'Ann Savage']",['Frank Woodruff'],Not found,Duas Pequenas Atrevidas,0,"['Comedy', 'Musical']",Not found,Not found,Not found,Approved,21 April 1984 (UK)
4083,4083,Playboy of Paris,79,"['Maurice Chevalier', 'Frances Dee', 'O.P. Heggie']",['Ludwig Berger'],"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",The Little Cafe,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,10 June 1943 (USA)
4084,4084,...und abends in die Scala,94,"['Caterina Valente', 'Gerhard Riedmann', 'Ruth Stephan']",['Erik Ode'],"CCC-Atelier, Berlin, Germany",Und Abends in die Scala,0,"['Musical', 'Romance']",Not found,Not found,Not found,,18 October 1930 (USA)
4085,4085,The Clan,95,"['Christian De Sica', 'Paolo Conticini', 'Sebastien Torkia']",['Christian De Sica'],"Las Vegas, Nevada, USA",Not found,0,"['Comedy', 'Musical']",Not found,Not found,"$453,363",,22 February 1958 (West Germany)
4086,4086,Frauen sind doch bessere Diplomaten,93,"['Marika Rökk', 'Willy Fritsch', 'Aribert Wäscher']",['Georg Jacoby'],"Babelsberg Castle, Potsdam, Brandenburg, Germany",Kobiety są jednak lepszymi dyplomatami,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0753937/', 'name: Marika Rökk', '}', '{', '@type: Person', 'url: /name/nm0295992/', 'name: Willy Fritsch', '}', '{', '@type: Person', 'url: /name/nm0944196/', 'name: Aribert Wäscher', '}', '{', '@type: Person', 'url: /name/nm0500018/', 'name: Hans Leibelt', '}']",Not found,Not found,Not found,,11 March 2005 (Italy)
4087,4087,Rangeelay Jasoos,145,"['Jehanzeb', 'Ghulam Mohiuddin', 'Naghma']",['Iqbal Kashmiri'],Not found,Not found,0,"['Action', 'Musical', 'Sci-Fi']",Not found,Not found,Not found,,31 October 1941 (Germany)
4088,4088,Mr. Rudolpho's Jubilee,110,"['Christiane Paul', 'Francesco Mazzini', 'Stig Eldred']",['Michael Glover'],"Berlin, Germany",Not found,0,"['Comedy', 'Music', 'Musical', 'Romance']",Not found,Not found,Not found,G,14 July 1989 (Pakistan)
4089,4089,Goldflocken,163,"['Magdalena Montezuma', 'Ila von Hasperg', 'Ellen Umlauf']",['Werner Schroeter'],Not found,Flocons d'or,0,"['Musical', 'Drama', 'Fantasy']",Not found,Not found,Not found,,14 January 2017 (Denmark)
4090,4090,The Amazing Tour Is Not On Fire,Not found,"['Daniel Howell', 'Phil Lester', 'Carla Mendoca']","['Sam Campbell', 'Phil Myers']","Dolby Theatre - 6801 Hollywood Blvd., Hollywood &amp; Highland Center, Hollywood, Los Angeles, California, USA",Not found,0,"['Adventure', 'Comedy', 'Musical']",Not found,Not found,Not found,,26 March 1980 (France)
4091,4091,Jaanmoni 2,Not found,"['Shyamontika Sharma', 'Prosenjit Bora', 'Chandan Kumar Chaudhary']",['Rajesh Bhuyan'],Not found,Not found,0,"['Musical', 'Romance']",Not found,Not found,Not found,,Not found
4092,4092,Hit the Deck,103,"['Jack Oakie', 'Polly Walker', 'Roger Gray']",['Luther Reed'],"RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA",Bál a fedélzeten,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,2006 (India)
4093,4093,Pas de week end pour notre amour,96,"['Luis Mariano', 'Jules Berry', 'Bernard Lajarrige']",['Pierre Montazel'],Not found,Not Any Weekend for Our Love,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0547132/', 'name: Luis Mariano', '}', '{', '@type: Person', 'url: /name/nm0077598/', 'name: Jules Berry', '}', '{', '@type: Person', 'url: /name/nm0478657/', 'name: Bernard Lajarrige', '}', '{', '@type: Person', 'url: /name/nm0491179/', 'name: Anne Laurens', '}']",Not found,Not found,Not found,,2 February 1930 (USA)
4094,4094,The Ghost Goes Gear,79,"['Steve Winwood', 'Muff Winwood', 'Pete York']",['Hugh Gladwish'],"Puttenden Manor, Lingfield, Surrey, England, UK",Not found,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,23 January 1950 (France)
4095,4095,Chemparathy,142,"['Bahadur', 'Paravoor Bharathan', 'Adoor Bhasi']",['P.N. Menon'],Not found,Not found,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,Not Rated,September 1966 (UK)
4096,4096,"Lata dwudzieste, lata trzydzieste",102,"['Grazyna Szapolowska', 'Tomasz Stockinger', 'Piotr Fronczewski']",['Janusz Rzeszewski'],Poland,"The Twenties, the Thirties",0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,,Not found
4097,4097,Jalan,113,"['I.S. Johar', 'Mehmood', 'Ambika Johar']",['H.A. Rahi'],"Essel Studios, Mumbai, Maharashtra, India",Not found,0,"['Comedy', 'Drama', 'Family', 'Musical']",Not found,Not found,Not found,,19 March 1984 (Poland)
4098,4098,The Seventh Python,94,"['John Cleese', 'Eric Idle', 'Terry Jones']",['Burt Kearns'],"London, England, UK",Not found,0,"['Documentary', 'Animation', 'Biography', 'Comedy', 'Musical']","$1,500,000
            ",Not found,Not found,,3 January 1978 (India)
4099,4099,Soy charro de Levita,110,"['Germán Valdés', 'Marcelo Chávez', 'Rosita Quintana']",['Gilberto Martínez Solares'],Not found,Soy Charro De Levita,0,"['Comedy', 'Family', 'Musical']",Not found,Not found,Not found,,26 June 2008 (USA)
4100,4100,Ustad 420,136,"['Sheikh Mukhtar', 'Sudhir', 'Zeb Rehman']",['Chand'],"Famous Studios, Mumbai, Maharashtra, India",Maestro 420,0,"['Action', 'Crime', 'Musical', 'Thriller']",Not found,Not found,Not found,,16 June 1949 (Mexico)
4101,4101,The Smoke,89,"['Jan Slovák', 'Lucie Zednícková', 'Simon Caban']",['Tomás Vorel'],Not found,The Smoke,0,"['Comedy', 'Musical']",Not found,Not found,Not found,,16 July 1969 (India)
4102,4102,The Inn at the Rhine,98,"['Käthe Dorsch', 'Fritz Schulz', 'Hans Heinz Bollmann']",['Georg Jacoby'],Not found,The Inn at the Rhine,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0234118/', 'name: Käthe Dorsch', '}', '{', '@type: Person', 'url: /name/nm0776458/', 'name: Fritz Schulz', '}', '{', '@type: Person', 'url: /name/nm0093179/', 'name: Hans Heinz Bollmann', '}', '{', '@type: Person', 'url: /name/nm0686783/', 'name: Karl Platen', '}']",Not found,Not found,Not found,,1 February 1991 (Czechoslovakia)
4103,4103,Nomansland,76,Not found,"['van Guevara Ghwaja', 'Sang-Hyeuk Kim']",Not found,Not found,0,"['Comedy', 'Horror', 'Musical', 'Mystery']",Not found,Not found,Not found,,11 October 1930 (Austria)
4104,4104,Opernball,95,"['Johannes Heesters', 'Hertha Feiler', 'Josef Meinrad']",['Ernst Marischka'],Not found,Opera Ball,0,"['Comedy', 'Musical', 'Romance']",Not found,Not found,Not found,,Not found
4105,4105,Music for Madame,81,"['Nino Martini', 'Joan Fontaine', 'Alan Mowbray']",['John G. Blystone'],"Hollywood Bowl - 2301 N. Highland Avenue, Hollywood, Los Angeles, California, USA",Musique pour madame,0,"['Comedy', 'Drama', 'Musical', 'Romance']",Not found,Not found,Not found,Passed,30 August 1956 (West Germany)
4106,4106,Historias del desencanto,120,"['Ximena Ayala', 'Carolina Moreno', 'Mario Oliver']","['Felipe Gómez', 'Alejandro Valle']",Mexico,Stories of Disenchantment,0,"['Comedy', 'Drama', 'Fantasy', 'Musical']",Not found,Not found,Not found,Not Rated,8 October 1937 (USA)
4107,4107,Lamphill - IMDb</title>,Not found,"['Kamil McFadden', 'Sinatra Onyewuchi', 'Duain Richmond']",['Sinatra Onyewuchi'],"Atlanta Georgia, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm3262224/', 'name: Kamil McFadden', '}', '{', '@type: Person', 'url: /name/nm1847179/', 'name: Sinatra Onyewuchi', '}', '{', '@type: Person', 'url: /name/nm1573527/', 'name: Duain Richmond', '}', '{', '@type: Person', 'url: /name/nm5372717/', 'name: Dee-1', '}']",Not found,Not found,Not found,,8 October 2005 (USA)
4108,4108,Love of a Clown - Pagliacci,67,"['Tito Gobbi', 'Gina Lollobrigida', 'Onelia Fineschi']",['Mario Costa'],Not found,Love of a Clown - Pagliacci,0,"['Drama', 'Music', 'Musical']",Not found,Not found,Not found,,Not found
