,Unnamed: 0,Unnamed: 0.1,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number,GENRE_1,GENRE_2,GENRE_3,GENRE_4,GENRE_5,GENRE_Action,GENRE_Adventure,GENRE_Animation,GENRE_Biography,GENRE_Comedy,GENRE_Crime,GENRE_Documentary,GENRE_Drama,GENRE_Family,GENRE_Fantasy,GENRE_Horror,GENRE_Music,GENRE_Musical,GENRE_Mystery,GENRE_Romance,GENRE_Sport,GENRE_Thriller,GENRE_War,GENRE_Western
136,25096,25096,Orphans,115.0,"['Albert Finney', 'Matthew Modine', 'Kevin Anderson']",['Alan J. Pakula'],"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",Kellerkinder - Orphans,0.0,"['contentRating: R', 'actor:', '{', '@type: Person', 'url: /name/nm0000197/', 'name: Jack Nicholson', '}', '{', '@type: Person', 'url: /name/nm0001221/', 'name: Louise Fletcher', '}', '{', '@type: Person', 'url: /name/nm0077720/', 'name: Michael Berryman', '}', '{', '@type: Person', 'url: /name/nm0110480/', 'name: Peter Brocco', '}']",15000000.0,252430.0,252430.0,4,18 September 1987,tt0093683,Orphans,115,Drama,4056117.0,8206000.0,37,27,2013-03-31,507014.625,71.98500000000001,0.8167874999999999,225.0,1071.0,1987-01-01,4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,5445,5445,Passion,102.0,"['Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth']",['Brian De Palma'],Germany,Passion,0.0,"['contentRating: R', 'actor:', '{', '@type: Person', 'url: /name/nm0001215/', 'name: Albert Finney', '}', '{', '@type: Person', 'url: /name/nm0000546/', 'name: Matthew Modine', '}', '{', '@type: Person', 'url: /name/nm0000754/', 'name: Kevin Anderson', '}', '{', '@type: Person', 'url: /name/nm0446120/', 'name: John Kellogg', '}']",20000000.0,92181.0,713616.0,4,30 August 2013,tt0047334,Passion,84,"Adventure,Western",10680035.0,0.0,280,52,1994-03-27,254286.5476190477,44.693095238095246,0.691352380952381,,1043.0,2013-01-01,4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,5129,5129,Peter Pan,77.0,"['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried']","['Clyde Geronimi', 'Wilfred Jackson']","Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",Peter Pan,0.0,"['Drama', 'Mystery', 'Thriller']",4000000.0,87404651.0,87404651.0,1,5 February 1953,tt0015224,Peter Pan,105,"Adventure,Family,Fantasy",18120049.0,23533338.0,307,8,1990-12-16,453001.225,42.75125,0.7564525000000001,75.0,1761.95,1953-01-01,1,Drama,Mystery,Thriller,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
139,25381,25381,Prelude to a Kiss,105.0,"['Meg Ryan', 'Alec Baldwin', 'Kathy Bates']",['Norman René'],"Berwyn, Illinois, USA",Prelude to a Kiss,0.0,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Musical']",,20006730.0,22697691.0,3,10 July 1992,tt0105165,Prelude to a Kiss,105,"Comedy,Fantasy,Romance",7606123.0,4105416.0,501,31,1990-04-29,113524.223880597,32.6944776119403,0.751855223880597,86.25,582.8955223880598,1992-01-01,3,Animation,Adventure,Family,Fantasy,Musical,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
140,25261,25261,Pretty Woman,119.0,"['Richard Gere', 'Julia Roberts', 'Jason Alexander']",['Garry Marshall'],"Giorgio Beverly Hills - 273 North Rodeo Drive, Beverly Hills, California, USA","$ 3,000",1.0,"['Comedy', 'Fantasy', 'Romance']",14000000.0,178406268.0,463407409.0,4,23 March 1990,tt0100405,Pretty Woman,119,"Comedy,Romance",51134568.8,76155432.0,420,27,2018-07-22,897097.6982456141,112.69175438596493,0.8626140350877193,275.0,1168.0,1990-01-01,4,Comedy,Fantasy,Romance,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
141,26978,26978,Prince of Broadway,100.0,"['Prince Adu', 'Karren Karagulian', 'Aiden Noesi']",['Sean Baker'],"New York City, New York, USA",El principe de Broadway,0.0,"['Comedy', 'Romance']",,20450.0,,0,3 September 2010,tt1000769,Prince of Broadway,100,Drama,4171309.9,9067142.0,76,23,2017-08-06,320869.99230769224,76.52846153846154,0.8915461538461541,299.0,617.0,2010-01-01,0,Comedy,Romance,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,26160,26160,Prince of Central Park,109.0,"['Kathleen Turner', 'Danny Aiello', 'Cathy Moriarty']",['John Leekley'],"Central Park, Manhattan, New York City, New York, USA",L'estate della tua vita,0.0,"['contentRating: Not Rated', 'actor:', '{', '@type: Person', 'url: /name/nm2614923/', 'name: Prince Adu', '}', '{', '@type: Person', 'url: /name/nm1199489/', 'name: Karren Karagulian', '}', '{', '@type: Person', 'url: /name/nm2957475/', 'name: Aiden Noesi', '}', '{', '@type: Person', 'url: /name/nm3092081/', 'name: Keyali Mayaga', '}']",7000000.0,7838.0,7838.0,3,25 December 2000,tt0170452,Prince of Central Park,109,"Action,Adventure,Drama",128907.0,0.0,4,19,1989-10-29,42969.0,16.830000000000002,0.34766666666666673,,983.0,2000-01-01,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,25285,25285,Proof,100.0,"['Gwyneth Paltrow', 'Anthony Hopkins', 'Hope Davis']",['John Madden'],"Chicago, Illinois, USA",Proof,1.0,"['Action', 'Adventure', 'Drama']",20000000.0,7535331.0,14189860.0,3,7 October 2005,tt0102721,Proof,86,"Drama,Romance",32896994.0,49888358.0,917,16,2000-10-15,281170.88888888893,51.37786324786325,0.7357512820512823,71.47008547008545,924.0,2005-01-01,3,Action,Adventure,Drama,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,26963,26963,Rabbit Hole,91.0,"['Nicole Kidman', 'Aaron Eckhart', 'Dianne Wiest']",['John Cameron Mitchell'],"College Point, Queens, New York City, New York, USA",Rabbit Hole,1.0,"['Drama', 'Mystery']",5000000.0,2229058.0,5144717.0,3,28 January 2011,tt0935075,Rabbit Hole,91,Drama,3203305.0,5076339.0,77,23,2006-01-15,246408.0769230769,54.819230769230785,0.8969384615384615,85.92307692307692,650.0,2011-01-01,3,Drama,Mystery,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
145,26670,26670,Race,134.0,"['Stephan James', 'Jason Sudeikis', 'Eli Goree']",['Stephen Hopkins'],"Olympiastadion, Charlottenburg, Berlin, Germany",Race,0.0,"['contentRating: PG-13', 'actor:', '{', '@type: Person', 'url: /name/nm0000173/', 'name: Nicole Kidman', '}', '{', '@type: Person', 'url: /name/nm0001173/', 'name: Aaron Eckhart', '}', '{', '@type: Person', 'url: /name/nm0001848/', 'name: Dianne Wiest', '}', '{', '@type: Person', 'url: /name/nm1886602/', 'name: Miles Teller', '}']",35000000.0,19206207.0,25070261.0,3,19 February 2016,tt0337075,Race,\N,Drama,14939910.0,36862720.0,297,23,2009-11-22,373497.75,74.47124999999997,0.5836399999999999,250.0,1058.0,2016-01-01,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
